index,address,latitude,longitude,cvs
319,부산광역시 동구 홍곡남로 52,0,0,7eleven
320,부산광역시 해운대구 해운대해변로 35 지하1층,0,0,7eleven
321,부산광역시 부산진구 가야대로468번길 11 1층 101호,0,0,7eleven
322,부산광역시 연제구 연수로 179 102동 104호,0,0,7eleven
323,부산광역시 해운대구 마린시티2로 38 i-park c1동 119호,0,0,7eleven
324,부산광역시 동래구 안락동 450-16 ,0,0,7eleven
325,부산시 동래구 안연로 109번길 24 ,0,0,7eleven
326,부산시 동래구 삼어로 2 ,0,0,7eleven
327,부산시 동래구 연안로 49 ,0,0,7eleven
328,부산광역시 부산진구 중앙대로979번길 45 ,0,0,7eleven
329,부산광역시 부산진구 양지로14번길 14 ,0,0,7eleven
330,부산광역시 부산진구 동평로 352 103호 ,0,0,7eleven
331,부산광역시 사상구 낙동대로 720,0,0,7eleven
332,부산광역시 서구 충무대로275번길 20 101호,0,0,7eleven
333,부산광역시 해운대구 달맞이길 30 ,0,0,7eleven
334,부산광역시 동구 대영로243번길 69 ,0,0,7eleven
335,부산광역시 연제구 중앙대로990번길 24 ,0,0,7eleven
336,부산광역시 연제구 연수로 105,0,0,7eleven
337,부산광역시 연제구 거제천로182번길 55 1층,0,0,7eleven
338,부산광역시 연제구 과정로 262 에이스리버팰리스 1층 102호 ,0,0,7eleven
339,부산광역시 연제구 연동로13번길 2,0,0,7eleven
340,부산광역시 연제구 연미로13번길 20,0,0,7eleven
341,부산광역시 연제구 연산동 630-17,0,0,7eleven
342,부산광역시 연제구 중앙대로1066번길 32 ,0,0,7eleven
343,부산광역시 연제구 고분로13번길 73 ,0,0,7eleven
344,부산광역시 연제구 묘봉산로 4 ,0,0,7eleven
345,부산광역시 연제구 월드컵대로165번길 41 ,0,0,7eleven
346,부산광역시 연제구 고분로56번길 1 1층,0,0,7eleven
347,부산 연제구 온천천남로92번길 30 1,0,0,7eleven
348,부산광역시 연제구 연제로8번길 54 제1동 1층,0,0,7eleven
349,부산광역시 연제구 월드컵대로145번길 74 ,0,0,7eleven
350,부산광역시 연제구 월드컵대로153번길 92 1층,0,0,7eleven
351,부산광역시 연제구 고분로235번길 62 ,0,0,7eleven
352,부산광역시 영도구 절영로50번길 8 1층,0,0,7eleven
353,부산광역시 영도구 동삼로 66 동삼동,0,0,7eleven
354,부산광역시 영도구 절영로 528,0,0,7eleven
355,부산광역시 영도구 태종로83번길 7,0,0,7eleven
356,부산광역시 영도구 남항로 31,0,0,7eleven
357,부산광역시 영도구 하나길 950,0,0,7eleven
358,부산광역시 영도구 태종로 506 1층 전체 ,0,0,7eleven
359,부산광역시 영도구 태종로 428 한라청학아파트 109,0,0,7eleven
360,부산광역시 영도구 절영로 118-2 ,0,0,7eleven
361,부산광역시 남구 못골번영로 61 101호,0,0,7eleven
362,부산광역시 동래구 온천동 여고북로23번길 46 101호,0,0,7eleven
363,부산광역시 동래구 금강로 28 ,0,0,7eleven
364,부산광역시 동래구 쇠미로129번길 94 1층,0,0,7eleven
365,부산광역시 동래구 충렬대로86번길 47 행정사 유종헌사무소,0,0,7eleven
366,부산 동래구 차밭골로21번길 41,0,0,7eleven
367,부산광역시 금정구 남산로37번길 68 1층,0,0,7eleven
368,부산광역시 남구 유엔평화로 150 1층 편의점,0,0,7eleven
369,부산광역시 남구 용호로178번길 3,0,0,7eleven
370,부산광역시 남구 동명로164번길 94 1층 ,0,0,7eleven
371,부산광역시 남구 용호로 207 1층 102호 ,0,0,7eleven
372,부산광역시 남구 동명로158번길 32 난다슈퍼 ,0,0,7eleven
373,부산 남구 용호로110번길 43 세븐일레븐 트,0,0,7eleven
374,부산광역시 남구 용호동 용호로 124 104 조광빌로체,0,0,7eleven
375,부산광역시 남구 분포로 115 힐탑탑플레이스 ,0,0,7eleven
376,부산광역시 남구 유엔로 34 새길카센타 ,0,0,7eleven
377,부산광역시 해운대구 윗반송로51번길 186 1층,0,0,7eleven
378,부산광역시 부산진구 복지로85번길 11-9,0,0,7eleven
379,부산광역시 기장군 일광로 68 ,0,0,7eleven
380,부산광역시 동구 중앙대로 365 1층 상가,0,0,7eleven
381,부산광역시 기장군 임랑해안길 31 ,0,0,7eleven
382,부산광역시 중구 자갈치로59번길 6,0,0,7eleven
383,부산광역시 중구 자갈치로37번길 6 1층,0,0,7eleven
384,부산광역시 사하구 다대로227번길 37 동원3차아파트 제상가동1층 101호,0,0,7eleven
385,부산광역시 사하구 장림번영로 71 ,0,0,7eleven
386,부산광역시 사하구 장림번영로104번길 10,0,0,7eleven
387,부산광역시 사하구 장림번영로 25,0,0,7eleven
388,부산광역시 사하구 두송로26번길 60 1층,0,0,7eleven
389,부산광역시 사하구 을숙도대로 570 ,0,0,7eleven
390,부산광역시 금정구 부산대학로64번안길 3 ,0,0,7eleven
391,부산광역시 금정구 소정로 35,0,0,7eleven
392,부산광역시 금정구 금강로347번길 1 1층 장전동,0,0,7eleven
393,부산광역시 금정구 금정로 144 ,0,0,7eleven
394,부산광역시 금정구 장전온천천로 95,0,0,7eleven
395,부산광역시 금정구 금강로347번길 66 1층,0,0,7eleven
396,부산광역시 해운대구 해운대로161번길 7 ,0,0,7eleven
397,부산광역시 해운대구 해운대로123번길 21,0,0,7eleven
398,부산광역시 해운대구 재반로 123 ,0,0,7eleven
399,부산광역시 동래구 금강로59번길 38 ,0,0,7eleven
400,부산광역시 부산진구 전포대로189번길 30 몽뜨레 제1층 제101호,0,0,7eleven
401,부산광역시 부산진구 전포대로122번길 13 ,0,0,7eleven
402,부산시 부산진구 전포대로 155번길 29 ,0,0,7eleven
403,부산광역시 부산진구 동성로15번길 37 1층 전체,0,0,7eleven
404,부산광역시 부산진구 진남로356번길 86 전포화신아파트상가 지하1호,0,0,7eleven
405,부산광역시 기장군 정관6로 5-20 A101호,0,0,7eleven
406,부산광역시 기장군 정관읍 방곡3로 20,0,0,7eleven
407,부산광역시 기장군 정관중앙로 55 106호,0,0,7eleven
408,부산광역시 기장군 정관읍 정관5로 75 ,0,0,7eleven
409,부산광역시 기장군 정관면 정관읍 741-6 아카데미센터 b101102호,0,0,7eleven
410,부산광역시 기장군 정관읍 가동길 20 ,0,0,7eleven
411,부산광역시 기장군 정관면 785-17,0,0,7eleven
412,부산광역시 기장군 정관면 정관3로 52,0,0,7eleven
413,부산광역시 기장군 정관면 정관로 548{정관신도시 한진해로로),0,0,7eleven
414,부산 기장군 정관읍 구연4로 8 ,0,0,7eleven
415,부산광역시 북구 시랑로94번길 64 1층,0,0,7eleven
416,부산광역시 해운대구 세실로 174 ,0,0,7eleven
